Diskusi dengan Kemenkeu
29 Juli 2025

1.	Paparan Bu Nani:
a.	Kami dari biro hukum, sudah hamper final tinggal pasal 5 itu juga di level pak wamen sudah sepakat bahwa perpres ini menjadi penugasan ke pt pln untuk membeli. Kalau untuk pembangunan jaringan itu pak wamen esdm konteksnya investasinya pln membutuhkan tambahan modal lewat PMN. Sesuai rezim skrg. 
b.	Penugasan ke PLN hanya listriknya, kalau dibuat penugasan lagi sesuai UU 1 BUMN harus ditindaklanjuti dengan SKB. Saiapa yang memulai SKB nya. 
c.	Dari kemenkeu, kalau penugasan UU 1, nanti ada pasal di UU BUMN, pasal 87C, pendanaan dari pemerintah
d.	Pln sudah satu2nya offtaker listrik, kita menjagaidengan pasal 20 kalau ada pembelian listrik ada peningkatan bpp ini aka nada kompensasi
e.	Tidak dibebankan ke PLN tapia da itung2an sesuai kompensasi saat ini
f.	Sudah lebih amat, perpres ini menjadi penugasan ke pt pln
g.	Tidak lagi diklausulkan meliputi UU BUMN
h.	Karena tidak jelas dari segi proses, teruse berapa beban APBN yd ditanggung?
i.	Ini hanl pending yd perlu dilaporkan
7.	Kemenkeu:
a.	Tipping fee yg 5-6 cent ini perlu ada basisnya. 18-20 cent, harmoisasi 5-6 cent basisnya apa
b.	Memang saat ini potensi kalau kita mengandalkan apbd agak sulit. Pemerintah dari pak presiden untuk mendukung program2 prioritas. Untuk ke APBD ini sebagaian tugasnya, dari pusat. Ini memang membatasi APBD dari Pemda.
c.	Kami menambahkan untuk menetapkan 1820 itu. Masukkan kami jangan hanya ESDM tetapi kemneku juga. Dari APBN ini harus disepakati kecuali ini harga pasar. 

8.	Kemenkeu:
a.	Skema BOO, BOT ini akan merubah mekanisme
b.	Verifikasi selain dari esdm juga perlu verifikasi dari kemenkeu
c.	Selamat ini kita pakai untuk semua subsidi, basis kita berapa sih BPP nya. Dari BPP kita berikutnya adalah margin. Bukan di pack 18 ke 20
d.	Selamat ini kita kasih pupuk bulog, berapa sih bpp di setiap aktiviatas dia. Ini basis bpkp mengaudit, berapa shy g masuk
9.	Pak Bono:
a.	Dapet arahan untuk WTE, diingatkan kita seabgai business entity harus tetap menjalankan mandar UU. Harus memiliki nilai komersial dan keekonomian. Dari sisi harga kami mendapatkan satu arahan bahwa harga 20 cent dalam ratas. 
b.	Untuk dukungan terhadap angka 20 cent itu belum didapatkan
c.	Kami sedang melakukan kajian, tapi entitas baru berdiri terbatas untuk melakuan pengadaan. Working in progress untuk internal kami
d.	Hanya terkait kompensasi tambahan ini satu hal baru yg diminta, yg kami lakukan, menunjuk konsultan kami melakukan komunikasi dari bbrp player yang memiliki exposure
e.	Titik lemah ada di kinerja pemda. Kalau sudah ditanggung, pemda bisa seolah2 seenak2 nya tidak melakukan kinjera. Tapi dari sisi kami terdapat riskiko tidak disuplai, kami tidak mendapatkan kompensasi ini downside ditanggung investor atau danatnara
f.	
10.	BPKP:
a.	Mechanisme penunjukkan langsung, sudah ada kelonggaran boleh penunjukkan lgsg dengan kriteria tertentu
b.	Harga mekanisme Lelang, kalau sudah ada ruang untuk Lelang, kita bersaumsi peminta tidak Saturday kalau harga di packed satu angka. Ada yg berminta si A menang 20, pdhl si B berani 18. 
c.	Evaluasi mau seperti apa.
d.	Ketika yg menang 20, ada investor mau 18
e.	Kalau kai sandingkan, kami belum bisa sampaikan apakah ini layak 20
f.	Kelazimannya kita break down capex nya brp. 
g.	Kami masih minta data esdm
h.	Konsep take and pay. Bagaimana dengan kondisi oversupply di bbrp sistem. Ini bgmn kenapa harus beli dengan harga mahal. 
i.	Harus ada guidance kalau ada kompensasi ini bagaimana
j.	Harga 20 cent apa boleh buat, membuat evaluasi factor harga. Non harga jdi kriteria, bgmn si a Nomor 1, si b bagaimana. Ini perlu kehati hatian.
k.	Ini membuka ruagng untuk bidding. Kalau perlu bayar dr apbn
l.	Berkaca dari IPP PLN, dulu tidak ada pembatasan. Dulu muncul makelar2 pjbl pegang dan gan konstruksi2. Ga ada landasan untuk memutus. Harus jelas ada progress nya
m.	Jangan cuman pegang pjbl terus juallagi. Ini Sejarah yg sudah terjadi
n.	Perlu batasan konstruksi
o.	Untuk yg eksisting berjalan bisa ikut skema ini setelah proses sblmnya diselesaikan.
p.	Seperti surakatarta, udah sls bangun. Harus terminasi dulu
11.	ESDM:
a.	
12.	Kemendagri:
a.	Realisasi dari retribusi persampahan kecil sekali
b.	
13.	KLH:
a.	
14.	Kemenkeu:
a.	Kalau jangka Panjang. Mekanisme subsidi lebih efektif
